id,name,price
10002,INFLATABLE POLITICAL GLOBE ,1.086619718
10120,DOGGY RUBBER,0.21
10125,MINI FUNKY DESIGN TAPES,0.859680851
10133,COLOURING PENCILS BROWN TUBE,0.649045226
10135,COLOURING PENCILS BROWN TUBE,1.410166667
11001,ASSTD DESIGN RACING CAR PEN,1.878166667
15030,FAN BLACK FRAME ,0.29
15034,PAPER POCKET TRAVELING FAN ,0.366408451
15036,ASSORTED COLOURS SILK FAN,1.065449331
15039,SANDALWOOD FAN,1.231744966
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16011,ANIMAL STICKERS,0.21
16012,FOOD/DRINK SPONGE STICKERS,0.21
16014,SMALL CHINESE STYLE SCISSOR,0.401481481
16015,MEDIUM CHINESE STYLE SCISSOR,0.488333333
16016,LARGE CHINESE STYLE SCISSOR,0.846
16033,MINI HIGHLIGHTER PENS,0.12
16043,POP ART PUSH DOWN RUBBER ,0.12
16046,TEATIME PEN CASE & PENS,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,0.325072464
16049,TEATIME GEL PENS ASST,0.24
16052,TEATIME PUSH DOWN RUBBER,0.589230769
16054,POPART RECT PENCIL SHARPENER ASST,0.128823529
16216,LETTER SHAPE PENCIL SHARPENER,0.152444444
16218,CARTOON  PENCIL SHARPENERS,0.26984375
16219,HOUSE SHAPE PENCIL SHARPENER,0.512673267
16225,RATTLE SNAKE EGGS,1.459326923
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.315235294
16236,KITTY PENCIL ERASERS,0.304558824
16237,SLEEPING CAT ERASERS,0.297281879
16238,PARTY TIME PENCIL ERASERS,0.310882353
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.308823529
16259,PIECE OF CAMO STATIONERY SET,0.09625
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29
17003,BROCADE RING PURSE ,1.063959184
17021,NAMASTE SWAGAT INCENSE,0.294736842
17038,PORCELAIN BUDAH INCENSE HOLDER,0.42
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.3025
17174,ASSTD RASTA KEY-CHAINS,0.42
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.27483871
20615,BLUE POLKADOT PASSPORT COVER,2.508556701
20616,CHERRY BLOSSOM PASSPORT COVER,1.807464789
20617,FIRST CLASS PASSPORT COVER ,2.251860465
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.027894737
20619,TROPICAL PASSPORT COVER ,2.136767677
20622,VIP PASSPORT COVER ,2.375294118
20652,BLUE POLKADOT LUGGAGE TAG ,1.526144578
20653,CHERRY BLOSSOM LUGGAGE TAG,1.481515152
20654,FIRST CLASS LUGGAGE TAG ,1.385
20655,QUEEN OF SKIES LUGGAGE TAG,1.722424242
20657,TROPICAL LUGGAGE TAG,1.720909091
20658,RED RETROSPOT LUGGAGE TAG,1.743027523
20659,ECONOMY LUGGAGE TAG,1.633846154
20661,BLUE POLKADOT PURSE ,3.397878788
20662,FIRST CLASS HOLIDAY PURSE ,2.879
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.693
20666,ECONOMY HOLIDAY PURSE,1.712352941
20667,CHERRY BLOSSOM PURSE,2.490625
20668,DISCO BALL CHRISTMAS DECORATION,0.163648649
20669,RED HEART LUGGAGE TAG,1.691584158
20670,VIP HOLIDAY PURSE,3.243636364
20674,GREEN POLKADOT BOWL,1.558803828
20675,BLUE POLKADOT BOWL,1.583883792
20676,RED RETROSPOT BOWL,1.625098039
20677,PINK POLKADOT BOWL,1.646617647
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65
20679,EDWARDIAN PARASOL RED,6.994090909
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.948185484
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.543333333
20685,DOORMAT RED RETROSPOT,8.920155587
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.863846154
20695,FLORAL BLUE MONSTER,4.25
20696,FLORAL SOFT CAR TOY,4.722
20697,LITTLE GREEN MONSTER SOFT TOY,2.55
20698,LITTLE PINK MONSTER SOFT TOY,2.55
20699,MOUSEY LONG LEGS SOFT TOY,3.004878049
20701,PINK CAT FLORAL CUSHION COVER ,4.066666667
20702,PINK PADDED MOBILE,4.343953488
20703,BLUE PADDED SOFT MOBILE,4.25
20704,MR ROBOT SOFT TOY,5.872222222
20705,MRS ROBOT SOFT TOY,4.70862069
20707,CRAZY DAISY HEART DECORATION,1.089666667
20712,JUMBO BAG WOODLAND ANIMALS,2.916594533
20716,PARTY FOOD SHOPPER BAG,1.315810811
20717,STRAWBERRY SHOPPER BAG,1.67
20718,RED RETROSPOT SHOPPER BAG,1.770511945
20719,WOODLAND CHARLOTTE BAG,1.200850816
20723,STRAWBERRY CHARLOTTE BAG,1.193921833
20724,RED RETROSPOT CHARLOTTE BAG,1.134831461
20725,LUNCH BAG RED RETROSPOT,2.113498168
20726,LUNCH BAG WOODLAND,2.164373233
20727,LUNCH BAG  BLACK SKULL.,2.09042963
20728,LUNCH BAG CARS BLUE,2.050818713
20731,POSY CANDY BAG,1.0925
20733,GOLD MINI TAPE MEASURE ,0.845311005
20735,BLACK MINI TAPE MEASURE ,1.109557522
20749,ASSORTED COLOUR MINI CASES,8.062664975
20750,RED RETROSPOT MINI CASES,8.119641944
20752,BLUE POLKADOT WASHING UP GLOVES,2.408881579
20755,BLUE PAISLEY POCKET BOOK,0.988095238
20756,GREEN FERN POCKET BOOK,0.85
20757,RED DAISY POCKET BOOK ,0.915
20758,ABSTRACT CIRCLES POCKET BOOK,0.85
20759,CHRYSANTHEMUM POCKET BOOK ,0.85
20760,GARDEN PATH POCKET BOOK,0.85
20761,BLUE PAISLEY SKETCHBOOK,4.429393939
20762,GREEN FERN SKETCHBOOK ,4.153214286
20763,DAISY SKETCHBOOK ,3.982962963
20764,ABSTRACT CIRCLES SKETCHBOOK ,4.657820513
20765,CHRYSANTHEMUM SKETCHBOOK ,4.239180328
20766,GARDEN PATH SKETCHBOOK,4.4275
20767,BLUE PAISLEY JOURNAL ,2.860487805
20768,GREEN FERN JOURNAL ,2.645535714
20769,DAISY JOURNAL ,2.746764706
20770,ABSTRACT CIRCLE JOURNAL ,2.500273973
20771,CHRYSANTHEMUM  JOURNAL,2.763170732
20772,GARDEN PATH JOURNAL,2.749090909
20773,BLUE PAISLEY NOTEBOOK,1.65
20775,DAISY NOTEBOOK ,1.716923077
20777,CHRYSANTHEMUM NOTEBOOK,1.703
20778,GARDEN PATH NOTEBOOK ,1.65
20780,BLACK EAR MUFF HEADPHONES,7.620333333
20781,GOLD EAR MUFF HEADPHONES,5.74862069
20782,CAMOUFLAGE EAR MUFF HEADPHONES,7.462142857
20785,FUSCHIA RETRO BAR STOOL,39.15
20793,BLUE TILED TRAY,6.75
20794,BLUE  TILE HOOK,3.505666667
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.568461538
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.832222222
20798,CLEAR MILKSHAKE GLASS,2.025
